idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1491,74.575,-11.557698641636836,-7.367154380465166,-15,1.00126326170819,-0.29433788066125427,0,0.12674434819995933,0.16157977621543057,0,0,70,0,0,0
1492,74.625,-11.507477277229485,-7.381467059769316,-15,1.007586725092774,-0.2781640596254268,0,0.12619360931197768,0.16189368839910082,0,0,70,0,0,0
1493,74.67500000000001,-11.456940429519626,-7.394970278028788,-15,1.0138825649783094,-0.26195973476584017,0,0.12563941076245055,0.16218984711546205,0,0,70,0,0,0
1494,74.725,-11.406089484000471,-7.407662554463531,-15,1.020150608761166,-0.24572668306932138,0,0.12508176774501123,0.16246821988737356,0,0,70,0,0,0
1495,74.775,-11.354925834776347,-7.419542497222412,-15,1.0263906845997604,-0.22946668467291037,0,0.12452069554772432,0.16272877618812412,0,0,70,0,0,0
1496,74.825,-11.303450884524572,-7.430608803535826,-15,1.0326026214192574,-0.21318152266867335,0,0.12395620955266791,0.16297148744477893,0,0,70,0,0,0
1497,74.875,-11.251666044456883,-7.440860259858586,-15,1.038786248916275,-0.19687298290813274,0,0.12338832523551037,0.1631963270413138,0,0,70,0,0,0
1498,74.92500000000001,-11.199572734280864,-7.450295742002974,-15,1.0449413975635369,-0.18054285380646493,0,0.12281705816508753,0.163403270321533,0,0,70,0,0,0
1499,74.975,-11.14717238216091,-7.458914215262051,-15,1.0510678986145365,-0.16419292614634415,0,0.12224242400297451,0.16359229459177405,0,0,70,0,0,0
1500,75.025,-11.094466424679146,-7.4667147345231,-15,1.0571655841081529,-0.14782499288158538,0,0.12166443850305712,0.16376337912339542,0,0,70,0,0,0
1501,75.075,-11.041456306796018,-7.473696444371282,-15,1.063234286873257,-0.13144084894052085,0,0.12108311751109982,0.16391650515505043,0,0,70,0,0,0
1502,75.125,-10.988143481810678,-7.4798585791834356,-15,1.0692738405332987,-0.1150422910291635,0,0.12049847696431112,0.16405165589474405,0,0,70,0,0,0
1503,75.17500000000001,-10.934529411321174,-7.485200463212037,-15,1.0752840795108611,-0.09863111743418877,0,0.11991053289090721,0.1641688165216747,0,0,70,0,0,0
1504,75.225,-10.880615565184309,-7.4897215106593045,-15,1.0812648390322088,-0.08220912782571295,0,0.11931930140967159,0.16426797418785932,0,0,70,0,0,0
1505,75.275,-10.826403421475431,-7.493421225741438,-15,1.0872159551317966,-0.06577812305996115,0,0.11872479872951422,0.16434911801954244,0,0,70,0,0,0
1506,75.325,-10.771894466447835,-7.496299202742987,-15,1.0931372646567712,-0.049339904981763764,0,0.11812704114902628,0.16441223911838854,0,0,70,0,0,0
1507,75.375,-10.717090194492046,-7.498355126061341,-15,1.099028605271442,-0.032896276226972145,0,0.11752604505603367,0.1644573305624577,0,0,70,0,0,0
1508,75.42500000000001,-10.661992108094886,-7.499588770241341,-15,1.1048898154617275,-0.016449040024787684,0,0.11692182692714809,0.16448438740696503,0,0,70,0,0,0
1509,75.475,-10.606601717798215,-7.5,-15,1.110720734539591,-6.732847428026264e-16,0,0.11631440332731467,0.16449340668482262,0,0,70,0,0,0
1510,75.525,-10.550920542157565,-7.499588770241341,-15,1.1165212026474411,0.016449040024786334,0,0.11570379090935824,0.16448438740696503,0,0,70,0,0,0
1511,75.575,-10.49495010770048,-7.498355126061341,-15,1.1222910607625143,0.03289627622697359,0,0.11509000641352655,0.1644573305624577,0,0,70,0,0,0
1512,75.625,-10.438691948884708,-7.4962992027429864,-15,1.1280301507012358,0.049339904981765215,0,0.11447306666703173,0.1644122391183885,0,0,70,0,0,0
1513,75.67500000000001,-10.3821476080561,-7.493421225741438,-15,1.1337383151235543,0.0657781230599626,0,0.11385298858358871,0.16434911801954244,0,0,70,0,0,0
1514,75.725,-10.32531863540631,-7.489721510659304,-15,1.1394153975372598,0.08220912782571439,0,0.1132297891629512,0.16426797418785932,0,0,70,0,0,0
1515,75.775,-10.268206588930335,-7.485200463212037,-15,1.1450612423022701,0.09863111743418744,0,0.1126034854904462,0.1641688165216747,0,0,70,0,0,0
1516,75.825,-10.210813034383776,-7.479858579183436,-15,1.1506756946348995,0.11504229102916215,0,0.11197409473650521,0.16405165589474408,0,0,70,0,0,0
1517,75.875,-10.153139545239902,-7.473696444371282,-15,1.1562586006121025,0.1314408489405223,0,0.11134163415619348,0.16391650515505043,0,0,70,0,0,0
1518,75.92500000000001,-10.095187702646596,-7.466714734523099,-15,1.1618098071756882,0.1478249928815868,0,0.1107061210887378,0.16376337912339542,0,0,70,0,0,0
1519,75.975,-10.036959095382873,-7.45891421526205,-15,1.1673291621365254,0.1641929261463456,0,0.11006757295704962,0.16359229459177402,0,0,70,0,0,0
1520,76.025,-9.978455319815405,-7.450295742002972,-15,1.172816514178712,0.18054285380646912,0,0.10942600726724848,0.16340327032153296,0,0,70,0,0,0
1521,76.075,-9.919677979854784,-7.440860259858585,-15,1.178271712863716,0.19687298290813418,0,0.10878144160818219,0.16319632704131376,0,0,70,0,0,0
1522,76.125,-9.860628686911436,-7.430608803535827,-15,1.1836946086345144,0.21318152266867205,0,0.10813389365094342,0.16297148744477893,0,0,70,0,0,0
1523,76.17500000000001,-9.801309059851585,-7.419542497222413,-15,1.1890850528196768,0.22946668467290907,0,0.10748338114838689,0.16272877618812412,0,0,70,0,0,0
1524,76.225,-9.741720724952751,-7.407662554463532,-15,1.1944428976374553,0.24572668306932002,0,0.1068299219346412,0.16246821988737356,0,0,70,0,0,0
1525,76.275,-9.68186531585925,-7.394970278028785,-15,1.1997679961998264,0.2619597347658444,0,0.10617353392462096,0.16218984711546194,0,0,70,0,0,0
1526,76.325,-9.621744473537362,-7.381467059769314,-15,1.205060202516522,0.278164059625431,0,0.10551423511353507,0.16189368839910076,0,0,70,0,0,0
1527,76.375,-9.561359846230344,-7.3671543804651645,-15,1.2103193714990341,0.29433788066125566,0,0.10485204357639341,0.16157977621543052,0,0,70,0,0,0
1528,76.42500000000001,-9.500713089413255,-7.352033809662914,-15,1.215545358964588,0.31047942423157937,0,0.10418697746751149,0.16124814498845969,0,0,70,0,0,0
1529,76.475,-9.439805865747568,-7.3361070055035436,-15,1.2207380216400978,0.32658692023425107,0,0.10351905502001259,0.16089883108528943,0,0,70,0,0,0
1530,76.525,-9.378639845035575,-7.319375714540605,-15,1.2258972171660933,0.3426586023008216,0,0.10284829454532793,0.1605318728121256,0,0,70,0,0,0
1531,76.575,-9.317216704174648,-7.3018417715487,-15,1.2310228041006226,0.35869270799023845,0,0.10217471443269487,0.16014731041007815,0,0,70,0,0,0
1532,76.625,-9.255538127111226,-7.28350709932227,-15,1.2361146419231301,0.374687478982122,0,0.10149833314865257,0.15974518605074814,0,0,70,0,0,0
1533,76.67500000000001,-9.193605804794647,-7.264373708464734,-15,1.2411725910383105,0.3906411612695911,0,0.10081916923653547,0.159325543831603,0,0,70,0,0,0
1534,76.725,-9.131421435130813,-7.2444436971680135,-15,1.2461965127799333,0.40655200535160124,0,0.1001372413159653,0.1588884297711411,0,0,70,0,0,0
1535,76.775,-9.068986722935621,-7.223719250982436,-15,1.2511862694146478,0.4224182664248025,0,0.09945256808234039,0.15843389180384482,0,0,70,0,0,0
1536,76.825,-9.006303379888262,-7.202202642577074,-15,1.256141724145753,0.43823820457486634,0,0.0987651683063235,0.15796197977492463,0,0,70,0,0,0
